,fecha,estacion,tsm,ano,mes,chla,mes_num,est_index,longitud,latitud,evento,oni,estacion_climatica
6907,2015-07-01,est_14,28.6145,2015.0,7,0.6924,07,13.0,-113.6,29.4,Niño,1.5,JJA
6908,2015-07-01,est_15,29.565,2015.0,7,0.485,07,14.0,-114.0,29.7,Niño,1.5,JJA
6909,2015-07-01,est_16,29.7483,2015.0,7,1.03,07,15.0,-114.5,30.2,Niño,1.5,JJA
6910,2015-07-01,est_17,30.0589,2015.0,7,0.6625,07,16.0,-114.5,30.7,Niño,1.5,JJA
6911,2015-07-01,est_2,30.5544,2015.0,7,0.2356,07,1.0,-109.7,24.2,Niño,1.5,JJA
6912,2015-07-01,est_3,30.2789,2015.0,7,0.1744,07,2.0,-110.1,24.6,Niño,1.5,JJA
6913,2015-07-01,est_4,29.8006,2015.0,7,0.2083,07,3.0,-110.5,24.8,Niño,1.5,JJA
6914,2015-07-01,est_5,30.9133,2015.0,7,0.1876,07,4.0,-110.8,25.3,Niño,1.5,JJA
6915,2015-07-01,est_6,31.0194,2015.0,7,0.2143,07,5.0,-111.1,25.8,Niño,1.5,JJA
6916,2015-07-01,est_7,30.4206,2015.0,7,0.2426,07,6.0,-111.2,26.3,Niño,1.5,JJA
6917,2015-07-01,est_8,30.6094,2015.0,7,0.2521,07,7.0,-111.5,26.8,Niño,1.5,JJA
6918,2015-07-01,est_9,30.7694,2015.0,7,0.2738,07,8.0,-111.9,27.2,Niño,1.5,JJA
6919,2015-08-01,est_1,31.2717,2015.0,8,0.3092,08,0.0,-109.3,23.8,Niño,1.9,JJA
6920,2015-08-01,est_10,31.5822,2015.0,8,0.5974,08,9.0,-112.3,27.6,Niño,1.9,JJA
6921,2015-08-01,est_11,30.3672,2015.0,8,1.2241,08,10.0,-112.6,28.0,Niño,1.9,JJA
6922,2015-08-01,est_12,29.8006,2015.0,8,1.205,08,11.0,-112.9,28.5,Niño,1.9,JJA
6923,2015-08-01,est_13,30.3172,2015.0,8,0.9801,08,12.0,-113.2,28.9,Niño,1.9,JJA
6924,2015-08-01,est_14,30.0828,2015.0,8,0.6919,08,13.0,-113.6,29.4,Niño,1.9,JJA
6925,2015-08-01,est_15,31.6617,2015.0,8,0.4035,08,14.0,-114.0,29.7,Niño,1.9,JJA
6926,2015-08-01,est_16,32.1522,2015.0,8,0.9102,08,15.0,-114.5,30.2,Niño,1.9,JJA
6927,2015-08-01,est_17,32.6317,2015.0,8,1.2487,08,16.0,-114.5,30.7,Niño,1.9,JJA
6928,2015-08-01,est_2,31.79,2015.0,8,0.5266,08,1.0,-109.7,24.2,Niño,1.9,JJA
6929,2015-08-01,est_3,31.8756,2015.0,8,1.039,08,2.0,-110.1,24.6,Niño,1.9,JJA
6930,2015-08-01,est_4,31.9133,2015.0,8,0.8421,08,3.0,-110.5,24.8,Niño,1.9,JJA
6931,2015-08-01,est_5,32.4295,2015.0,8,0.97,08,4.0,-110.8,25.3,Niño,1.9,JJA
6932,2015-08-01,est_6,32.4039,2015.0,8,1.4649,08,5.0,-111.1,25.8,Niño,1.9,JJA
6933,2015-08-01,est_7,31.9039,2015.0,8,0.4302,08,6.0,-111.2,26.3,Niño,1.9,JJA
